Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,C,.500,.302,.620,.952,17,67,27,7,24,147
,SG,.431,.338,.556,.826,16,46,54,10,25,327
,SG,.456,.440,.545,.810,17,75,37,8,20,325
,PF,.468,.397,.540,.500,61,148,93,9,38,325
,PF,.507,.330,.642,.772,62,145,23,24,14,322
,PF,.453,.395,.606,.714,70,178,128,38,48,320
,PF,.375,.286,1.000,,0,7,5,4,3,8
,PF,.456,.399,.600,.714,70,171,123,34,45,312
,PG,.466,.394,.510,.613,33,106,91,21,35,316
,PF,.439,.403,.469,.818,23,111,36,13,15,316
,PF,.439,.400,.470,.861,18,91,26,11,13,247
,PF,.441,.414,.467,.625,5,20,10,2,2,69
,PF,.422,.349,.538,.722,31,130,66,9,38,312
,C,.603,.143,.636,.655,109,177,79,72,32,311
,SG,.461,.417,.578,.743,32,92,85,29,51,310
,SF,.430,.392,.490,.750,69,148,58,21,30,303
,C,.720,.000,.754,.622,69,142,33,29,34,303
,SG,.439,.333,.523,.776,17,85,51,10,21,302
,SG,.391,.432,.350,.867,18,54,59,7,10,302
,SF,.436,.435,.439,.824,18,124,203,5,43,296
,PF,.450,.379,.550,.793,46,139,32,30,28,292
,PF,.414,.391,.567,.769,37,181,43,25,40,291
,PF,.393,.380,.471,.909,9,52,35,12,26,290
,PF,.385,.417,.000,.933,2,8,9,3,3,44
,PF,.394,.375,.500,.889,7,44,26,9,23,246
,PG,.413,.297,.455,.660,11,108,205,20,36,289
,PG,.430,.313,.583,.768,6,47,86,5,41,289
,PG,.509,.353,.536,.732,21,88,118,15,21,285
,SG,.427,.356,.496,.783,15,127,60,17,20,284
,PF,.434,.247,.510,.440,70,141,77,44,51,284
,C,.408,.226,.469,.419,56,101,57,35,42,204
,PF,.515,.286,.684,.571,14,40,20,9,9,80
,C,.583,.000,.596,.667,59,134,46,28,25,282
,SF,.437,.323,.546,.857,20,88,55,6,14,280
